Parameter,Value,Value_after_single_Param_Optimization,Improvement_of_Deviation,Min_Bound,Max_Bound
Heat_Loss_Choke_Valve.alpha,120.0,104.33837975009192,0.575792215160361,97.36842105263158,99.47368421052632
Heat_Exchanger.k_NTU,120.0,101.53375607159757,0.2248260663509176,99.47368421052632,101.57894736842104
