Parameter,Value,Value_after_single_Param_Optimization,Improvement_of_Deviation,Min_Bound,Max_Bound
Heat_Loss_Choke_Valve.alpha,120.0,99.38333391809269,0.575792215160361,90.0,110.0
Heat_Exchanger.k_NTU,120.0,99.53655244093272,0.2248260663509176,90.0,110.0
